type_name,kind,owner,file,line,definition_kind,pub_use
ApprovalRequestV1,struct,aidens-contracts,crates/aidens-contracts/src/capability_turn.rs,303,local_def,
ApprovalDecisionV1,struct,aidens-contracts,crates/aidens-contracts/src/capability_turn.rs,375,local_def,
PermitUseReportV1,struct,aidens-contracts,crates/aidens-contracts/src/capability_turn.rs,421,local_def,
TurnModeV1,enum,aidens-contracts,crates/aidens-contracts/src/capability_turn.rs,486,local_def,
ToolCallSourceV1,enum,aidens-contracts,crates/aidens-contracts/src/capability_turn.rs,508,local_def,
ToolCallRequestV1,struct,aidens-contracts,crates/aidens-contracts/src/capability_turn.rs,514,local_def,
ToolCallResultV1,struct,aidens-contracts,crates/aidens-contracts/src/capability_turn.rs,558,local_def,
TurnExecutionPlanV1,struct,aidens-contracts,crates/aidens-contracts/src/capability_turn.rs,610,local_def,
TurnFinalStateV1,enum,aidens-contracts,crates/aidens-contracts/src/capability_turn.rs,651,local_def,
TurnReportV1,struct,aidens-contracts,crates/aidens-contracts/src/capability_turn.rs,661,local_def,
StopRuleV1,enum,aidens-contracts,crates/aidens-contracts/src/capability_turn.rs,741,local_def,
StopRuleReportV1,struct,aidens-contracts,crates/aidens-contracts/src/capability_turn.rs,754,local_def,
BudgetExhaustionReportV1,struct,aidens-contracts,crates/aidens-contracts/src/capability_turn.rs,786,local_def,
BudgetExhaustionReportDraftV1,struct,aidens-contracts,crates/aidens-contracts/src/capability_turn.rs,822,local_def,
ToolInvocationOutcomeV1,enum,aidens-contracts,crates/aidens-contracts/src/capability_turn.rs,837,local_def,
ToolInvocationReportV1,struct,aidens-contracts,crates/aidens-contracts/src/capability_turn.rs,844,local_def,
ToolAttemptReportV1,type,aidens-contracts,crates/aidens-contracts/src/capability_turn.rs,870,local_def,
RunReportV1,struct,aidens-contracts,crates/aidens-contracts/src/capability_turn.rs,978,local_def,
AiDENsRunFailureClassV1,enum,aidens-contracts,crates/aidens-contracts/src/capability_turn.rs,1049,local_def,
AiDENsRunEventLogDigestV1,struct,aidens-contracts,crates/aidens-contracts/src/capability_turn.rs,1061,local_def,
AiDENsRunBudgetDeadlineV1,struct,aidens-contracts,crates/aidens-contracts/src/capability_turn.rs,1072,local_def,
AiDENsRunReplayNormalizationV1,struct,aidens-contracts,crates/aidens-contracts/src/capability_turn.rs,1085,local_def,
AiDENsRunFailureTaxonomyV1,struct,aidens-contracts,crates/aidens-contracts/src/capability_turn.rs,1096,local_def,
JobStateV1,enum,aidens-contracts,crates/aidens-contracts/src/daemon_queue.rs,9,local_def,
QueueHopKindV1,enum,aidens-contracts,crates/aidens-contracts/src/daemon_queue.rs,27,local_def,
SafeModeOperationV1,enum,aidens-contracts,crates/aidens-contracts/src/daemon_queue.rs,42,local_def,
JobV1,struct,aidens-contracts,crates/aidens-contracts/src/daemon_queue.rs,50,local_def,
QueueLeaseV1,struct,aidens-contracts,crates/aidens-contracts/src/daemon_queue.rs,131,local_def,
ScheduleOccurrenceV1,struct,aidens-contracts,crates/aidens-contracts/src/daemon_queue.rs,182,local_def,
WakeSignalV1,struct,aidens-contracts,crates/aidens-contracts/src/daemon_queue.rs,240,local_def,
DaemonNamespaceV1,struct,aidens-contracts,crates/aidens-contracts/src/daemon_queue.rs,284,local_def,
SafeModeReportV1,struct,aidens-contracts,crates/aidens-contracts/src/daemon_queue.rs,329,local_def,
DuplicateSuppressionReportV1,struct,aidens-contracts,crates/aidens-contracts/src/daemon_queue.rs,373,local_def,
QueueHopReportV1,struct,aidens-contracts,crates/aidens-contracts/src/daemon_queue.rs,406,local_def,
ExecutionCompletionStateV1,enum,aidens-contracts,crates/aidens-contracts/src/execution.rs,10,local_def,
ExecutionContextRefV1,struct,aidens-contracts,crates/aidens-contracts/src/execution.rs,20,local_def,
ExecutionContextEnvelopeV1,struct,aidens-contracts,crates/aidens-contracts/src/execution.rs,27,local_def,
ToolCallReceiptV1,struct,aidens-contracts,crates/aidens-contracts/src/execution.rs,153,local_def,
OperatorInvocationReceiptV1,struct,aidens-contracts,crates/aidens-contracts/src/execution.rs,214,local_def,
CanonicalBackpointerV1,struct,aidens-contracts,crates/aidens-contracts/src/lib.rs,127,local_def,
ArtifactVersion,enum,aidens-contracts,crates/aidens-contracts/src/lib.rs,232,local_def,
AidensRunContextV1,struct,aidens-contracts,crates/aidens-contracts/src/lib.rs,237,local_def,
ArtifactKindV1,enum,aidens-contracts,crates/aidens-contracts/src/lib.rs,271,local_def,
,pub_use,aidens-contracts,crates/aidens-contracts/src/lib.rs,30,pub_use,agent_bundle::*
,pub_use,aidens-contracts,crates/aidens-contracts/src/lib.rs,32,pub_use,app_status::*
,pub_use,aidens-contracts,crates/aidens-contracts/src/lib.rs,33,pub_use,artifact::*
,pub_use,aidens-contracts,crates/aidens-contracts/src/lib.rs,34,pub_use,boundary::*
,pub_use,aidens-contracts,crates/aidens-contracts/src/lib.rs,35,pub_use,capability_turn::*
,pub_use,aidens-contracts,crates/aidens-contracts/src/lib.rs,36,pub_use,daemon_queue::*
