type_name,kind,owner,file,line,definition_kind,pub_use
BridgeError,enum,forge-memory-bridge,forge-memory-bridge/src/error.rs,8,local_def,
BridgeImportFailureArtifact,struct,forge-memory-bridge,forge-memory-bridge/src/error.rs,60,local_def,
,pub_use,forge-memory-bridge,forge-memory-bridge/src/lib.rs,23,pub_use,batch::*
,pub_use,forge-memory-bridge,forge-memory-bridge/src/lib.rs,28,pub_use,transform::*
,pub_use,forge-memory-bridge,forge-memory-bridge/src/lib.rs,60,pub_use,compat::transform_legacy_envelope
,pub_use,forge-memory-bridge,forge-memory-bridge/src/lib.rs,69,pub_use,compat::upgrade_legacy_envelope
,pub_use,forge-memory-bridge,forge-memory-bridge/src/lib.rs,78,pub_use,compat::LegacyEpisodeMeta
,pub_use,forge-memory-bridge,forge-memory-bridge/src/lib.rs,87,pub_use,compat::LegacyImportEnvelopeV1
,pub_use,forge-memory-bridge,forge-memory-bridge/src/lib.rs,96,pub_use,compat::LegacyImportRecord
OracleBundleInput,struct,forge-pilot,forge-pilot/src/bundle_builder.rs,10,local_def,
PatchBundleInput,struct,forge-pilot,forge-pilot/src/bundle_builder.rs,19,local_def,
Decision,struct,forge-pilot,forge-pilot/src/decide.rs,9,local_def,
RoundtripResult,struct,forge-pilot,forge-pilot/src/export.rs,9,local_def,
ImportBootstrapReport,struct,forge-pilot,forge-pilot/src/export.rs,15,local_def,
,pub_use,forge-pilot,forge-pilot/src/repo_chat.rs,21,pub_use,routing::route_question
PilotError,enum,forge-pilot,forge-pilot/src/error.rs,9,local_def,
ObservationDegradation,struct,forge-pilot,forge-pilot/src/observe.rs,38,local_def,
PathAvailability,enum,forge-pilot,forge-pilot/src/observe.rs,46,local_def,
ImportRecordDisposition,enum,forge-pilot,forge-pilot/src/observe.rs,55,local_def,
ObservationDisposition,enum,forge-pilot,forge-pilot/src/observe.rs,66,local_def,
ObservationPaths,struct,forge-pilot,forge-pilot/src/observe.rs,77,local_def,
SourceInventory,struct,forge-pilot,forge-pilot/src/observe.rs,88,local_def,
ForgeEvidenceInventory,struct,forge-pilot,forge-pilot/src/observe.rs,95,local_def,
