archive,package_name,version,manifest_path,crate_dir,workspace_status,rust_file_count,test_file_count,example_file_count,has_readme,has_lib_rs,has_main_rs,dep_names
aidens,aidens,0.1.0,crates/aidens/Cargo.toml,crates/aidens,workspace_member,1,0,0,False,True,False,aidens-app-kit;aidens-contracts;aidens-kernel-kit;aidens-profile-coding;aidens-runner;serde;thiserror
libraries,cea-core,0.1.0,Primitives/cea-core/Cargo.toml,Primitives/cea-core,root_excluded,9,1,0,True,True,False,bincode;blake3;check-runner;petgraph;serde;serde_json;thiserror;typed-patch;uuid
libraries,cea-sqlite,0.1.0,Primitives/cea-sqlite/Cargo.toml,Primitives/cea-sqlite,root_excluded,1,0,0,True,True,False,cea-core;cea-store;chrono;forge-policy;rusqlite;check-runner;serde_json;tempfile
libraries,cea-store,0.1.0,Primitives/cea-store/Cargo.toml,Primitives/cea-store,root_excluded,1,0,0,True,True,False,cea-core;check-runner;serde_json;thiserror
libraries,check-runner,0.1.0,Primitives/check-runner/Cargo.toml,Primitives/check-runner,root_excluded,1,0,0,True,True,False,async-trait;effect-signature;forge-policy;sandbox-workspace;serde;thiserror;tokio;tracing;tempfile
libraries,effect-signature,0.1.0,Primitives/effect-signature/Cargo.toml,Primitives/effect-signature,root_excluded,1,0,0,True,True,False,blake3;serde;serde_json
libraries,forge-policy,0.1.0,Primitives/forge-policy/Cargo.toml,Primitives/forge-policy,root_excluded,2,0,0,True,True,False,glob;rusqlite;serde;thiserror;tracing;proptest;tempfile
libraries,forge-policy-fuzz,0.0.0,Primitives/forge-policy/fuzz/Cargo.toml,Primitives/forge-policy/fuzz,under_excluded,1,0,0,False,False,False,forge-policy;libfuzzer-sys;tempfile
libraries,mindstate-core,0.1.0,Primitives/mindstate-core/Cargo.toml,Primitives/mindstate-core,root_excluded,1,0,0,True,True,False,blake3;serde;serde_json;thiserror
libraries,sandbox-workspace,0.1.0,Primitives/sandbox-workspace/Cargo.toml,Primitives/sandbox-workspace,root_excluded,2,0,0,True,True,False,forge-policy;tempfile;thiserror;walkdir;proptest
libraries,sandbox-workspace-fuzz,0.0.0,Primitives/sandbox-workspace/fuzz/Cargo.toml,Primitives/sandbox-workspace/fuzz,under_excluded,1,0,0,False,False,False,libfuzzer-sys;sandbox-workspace;tempfile
libraries,stabilizer-core,0.1.0,Primitives/stabilizer-core/Cargo.toml,Primitives/stabilizer-core,root_excluded,1,0,0,True,True,False,thiserror;typed-patch;uuid
libraries,typed-patch,0.1.0,Primitives/typed-patch/Cargo.toml,Primitives/typed-patch,root_excluded,2,0,0,True,True,False,forge-policy;sandbox-workspace;serde;similar;thiserror;tokio;uuid;walkdir;proptest;tempfile
libraries,typed-patch-fuzz,0.0.0,Primitives/typed-patch/fuzz/Cargo.toml,Primitives/typed-patch/fuzz,under_excluded,1,0,0,False,False,False,libfuzzer-sys;typed-patch;uuid
libraries,assurance-runtime,0.1.0,assurance-runtime/Cargo.toml,assurance-runtime,workspace_member,15,8,0,True,True,False,serde;schemars;thiserror;proptest;serde_json
libraries,attestation-exchange,0.1.0,attestation-exchange/Cargo.toml,attestation-exchange,workspace_member,6,3,0,True,True,False,schemars;serde;stack-ids;thiserror;serde_json
libraries,authority-delegation,0.1.0,authority-delegation/Cargo.toml,authority-delegation,workspace_member,11,5,0,True,True,False,serde;schemars;thiserror;serde_json
libraries,constitutional-memory,0.1.0,constitutional-memory/Cargo.toml,constitutional-memory,workspace_member,5,3,0,True,True,False,schemars;serde;stack-ids;thiserror;proptest;serde_json
libraries,constraint-compiler,0.1.0,constraint-compiler/Cargo.toml,constraint-compiler,workspace_member,2,0,0,True,True,False,blake3;forge-memory-bridge;recursive-kernel-core;semantic-memory-forge;serde;serde_json;stack-ids;schemars
libraries,continuity-runtime,0.1.0,continuity-runtime/Cargo.toml,continuity-runtime,workspace_member,13,5,0,True,True,False,serde;schemars;thiserror;serde_json
libraries,contract-schema-gen,0.1.0,contract-schema-gen/Cargo.toml,contract-schema-gen,workspace_member,3,1,0,True,True,True,assurance-runtime;attestation-exchange;authority-delegation;constitutional-memory;continuity-runtime;schemars;discovery-portfolio;effect-runtime;federated-settlement;serde_json;semantic-memory-forge;forge-memory-bridge;knowledge-runtime;mechanism-runtime;semantic-memory;constraint-compiler;kernel-execution;kernel-oracles;forge-pilot;remote-oracle-admission;profile-runtime;spec-execution;verification-adjudication;verification-calibration;verification-control;verification-policy;tempfile
libraries,discovery-portfolio,0.1.0,discovery-portfolio/Cargo.toml,discovery-portfolio,workspace_member,5,4,0,True,True,False,schemars;serde;stack-ids;proptest;serde_json
libraries,effect-runtime,0.1.0,effect-runtime/Cargo.toml,effect-runtime,workspace_member,12,5,0,True,True,False,chrono;serde;schemars;stack-ids;thiserror;proptest;serde_json
libraries,federated-settlement,0.1.0,federated-settlement/Cargo.toml,federated-settlement,workspace_member,5,4,0,True,True,False,schemars;serde;stack-ids;serde_json
libraries,forge-memory-bridge,0.1.0,forge-memory-bridge/Cargo.toml,forge-memory-bridge,workspace_member,7,1,0,True,True,False,semantic-memory-forge;stack-ids;serde;serde_json;thiserror;chrono;uuid;schemars;serde_json
libraries,forge-pilot,0.1.0,forge-pilot/Cargo.toml,forge-pilot,workspace_member,77,25,0,True,True,True,assurance-runtime;attestation-exchange;authority-delegation;constitutional-memory;continuity-runtime;effect-runtime;mechanism-runtime;constraint-compiler;forge-engine;forge-memory-bridge;kernel-execution;kernel-oracles;knowledge-runtime;recursive-kernel-core;semantic-memory;semantic-memory-forge;verification-adjudication;verification-calibration;verification-control;verification-policy;schemars;stack-ids;blake3;chrono;serde;serde_json;thiserror;tokio;tracing;uuid;reqwest;rusqlite;llm-tool-runtime;semantic-memory;tempfile;tokio;uuid
libraries,kernel-conformance,0.1.0,kernel-conformance/Cargo.toml,kernel-conformance,workspace_member,9,6,1,True,True,False,chrono;constitutional-memory;constraint-compiler;discovery-portfolio;federated-settlement;forge-memory-bridge;knowledge-runtime;kernel-execution;kernel-oracles;mechanism-runtime;recursive-kernel-core;semantic-memory;semantic-memory-forge;spec-execution;verification-adjudication;verification-calibration;verification-control;verification-policy;serde_json;stack-ids;tempfile;tokio;forge-engine;forge-pilot;proptest
libraries,kernel-execution,0.1.0,kernel-execution/Cargo.toml,kernel-execution,workspace_member,1,0,0,True,True,False,constraint-compiler;recursive-kernel-core;serde;serde_json;stack-ids;schemars
libraries,kernel-oracles,0.1.0,kernel-oracles/Cargo.toml,kernel-oracles,workspace_member,1,0,0,True,True,False,chrono;constraint-compiler;forge-memory-bridge;kernel-execution;recursive-kernel-core;serde;stack-ids;schemars;semantic-memory-forge;serde_json;proptest
libraries,knowledge-runtime,0.1.0,knowledge-runtime/Cargo.toml,knowledge-runtime,workspace_member,32,6,0,True,True,False,constraint-compiler;forge-memory-bridge;kernel-execution;kernel-oracles;recursive-kernel-core;semantic-memory;stack-ids;serde;serde_json;thiserror;tracing;chrono;uuid;schemars;tokio;tempfile;semantic-memory-forge
libraries,forge-engine,0.2.0,living-memory/living-memory/Cargo.toml,living-memory/living-memory,workspace_member,56,14,0,True,True,False,llm-tool-runtime;semantic-memory;semantic-memory-forge;forge-memory-bridge;stack-ids;forge-policy;sandbox-workspace;typed-patch;effect-signature;check-runner;mindstate-core;stabilizer-core;cea-core;cea-store;cea-sqlite;tokio;serde;serde_json;thiserror;anyhow;uuid;blake3;rusqlite;tempfile;walkdir;once_cell;petgraph;regex;async-trait;tracing;chrono;glob;similar;rand;tokio;tempfile
libraries,llm-tool-runtime,0.1.0,llm-tool-runtime/Cargo.toml,llm-tool-runtime,workspace_member,9,3,0,True,True,False,async-trait;chrono;semantic-memory-forge;serde;serde_json;stack-ids;thiserror;tokio;tracing;uuid
libraries,mechanism-runtime,0.1.0,mechanism-runtime/Cargo.toml,mechanism-runtime,workspace_member,5,3,0,True,True,False,schemars;serde;stack-ids;thiserror;proptest;serde_json
libraries,profile-runtime,0.1.0,profile-runtime/Cargo.toml,profile-runtime,workspace_member,13,5,0,True,True,False,assurance-runtime;attestation-exchange;authority-delegation;continuity-runtime;serde;serde_json;schemars;stack-ids;thiserror;tracing;verification-policy;proptest;serde_json
libraries,recursive-kernel-core,0.1.0,recursive-kernel-core/Cargo.toml,recursive-kernel-core,workspace_member,2,1,0,True,True,False,serde;stack-ids;schemars;serde_json
libraries,remote-oracle-admission,0.1.0,remote-oracle-admission/Cargo.toml,remote-oracle-admission,workspace_member,3,2,0,True,True,False,schemars;serde;stack-ids;attestation-exchange
libraries,semantic-memory-forge,0.1.0,semantic-memory-forge/Cargo.toml,semantic-memory-forge,workspace_member,10,0,0,True,True,False,stack-ids;serde;serde_json;chrono;uuid;thiserror;tracing;schemars;proptest
libraries,semantic-memory,0.5.0,semantic-memory/Cargo.toml,semantic-memory,workspace_member,60,28,2,True,True,False,bytemuck;rusqlite;reqwest;serde;serde_json;tokio;thiserror;tracing;uuid;chrono;stack-ids;forge-memory-bridge;schemars;hnsw_rs;tokio;tempfile;semantic-memory-forge
libraries,spec-execution,0.1.0,spec-execution/Cargo.toml,spec-execution,workspace_member,4,3,0,True,True,False,schemars;serde;serde_json;stack-ids;tracing;proptest;serde_json
libraries,stack-ids,0.1.0,stack-ids/Cargo.toml,stack-ids,workspace_member,8,0,0,True,True,False,serde;serde_json;blake3;uuid;chrono;schemars;serde_json
libraries,verification-adjudication,0.1.0,verification-adjudication/Cargo.toml,verification-adjudication,workspace_member,6,4,0,True,True,False,schemars;serde;stack-ids;verification-calibration;verification-control;verification-policy;serde_json
libraries,verification-calibration,0.1.0,verification-calibration/Cargo.toml,verification-calibration,workspace_member,2,1,0,True,True,False,schemars;serde;stack-ids;verification-control;serde_json
libraries,verification-control,0.1.0,verification-control/Cargo.toml,verification-control,workspace_member,7,4,0,True,True,False,chrono;llm-tool-runtime;schemars;semantic-memory-forge;serde;serde_json;stack-ids
libraries,verification-policy,0.1.0,verification-policy/Cargo.toml,verification-policy,workspace_member,12,7,0,True,True,False,llm-tool-runtime;schemars;serde;stack-ids;verification-control;serde_json
libraries2,ai-batch-queue,0.2.0,AI-Batch-Queue/Cargo.toml,AI-Batch-Queue,root_excluded,9,1,3,True,True,False,tauri;tokio;serde;serde_json;anyhow;chrono;uuid;thiserror;tracing;stack-ids;tempfile
libraries2,comfyui-rs,0.2.0,ComfyUI-RS/Cargo.toml,ComfyUI-RS,workspace_member,8,0,3,True,True,False,reqwest;tokio;tokio-tungstenite;futures-util;serde;serde_json;thiserror;rand;tracing;stack-ids;tokio
libraries2,llm-pipeline,0.2.0,LLM-Pipeline/Cargo.toml,LLM-Pipeline,root_excluded,37,1,6,True,True,False,llm-output-parser;llm-tool-runtime;stack-ids;tokio;reqwest;serde;serde_json;anyhow;thiserror;futures;async-trait;chrono;fastrand;uuid;tracing;tokio-test;tempfile;forge-engine
libraries2,ollama-vision,0.2.0,Ollama-Vision-RS/Cargo.toml,Ollama-Vision-RS,workspace_member,9,1,3,True,True,False,reqwest;serde;serde_json;tokio;thiserror;base64;llm-output-parser;tokio
libraries2,tauri-queue,0.3.0,Tauri-Queue/Cargo.toml,Tauri-Queue,root_excluded,7,2,4,True,True,False,job-queue;tauri;tokio;serde;serde_json;stack-ids;tracing;tempfile
libraries2,agent-graph,0.2.0,agent-graph/Cargo.toml,agent-graph,workspace_member,53,14,14,True,True,False,tokio;futures;async-trait;serde;serde_json;thiserror;rusqlite;chrono;uuid;tracing;stack-ids;tokio-test;criterion
libraries2,attestation-exchange,0.1.0,attestation-exchange/Cargo.toml,attestation-exchange,workspace_member,4,2,0,True,True,False,schemars;serde;stack-ids;serde_json
libraries2,constraint-compiler,0.1.0,constraint-compiler/Cargo.toml,constraint-compiler,root_excluded,2,0,0,True,True,False,blake3;forge-memory-bridge;recursive-kernel-core;semantic-memory-forge;serde;serde_json;stack-ids;schemars
libraries2,demo-tauri-libraries,0.1.0,demo-tauri-libraries/src-tauri/Cargo.toml,demo-tauri-libraries/src-tauri,under_excluded,2,0,0,False,False,True,async-trait;tauri;serde;serde_json;chrono;tokio;semantic-memory;semantic-memory-forge;forge-memory-bridge;knowledge-runtime;tauri-queue;stack-ids;tauri-build
libraries2,discovery-portfolio,0.1.0,discovery-portfolio/Cargo.toml,discovery-portfolio,workspace_member,4,3,0,True,True,False,schemars;serde;stack-ids;serde_json
libraries2,federated-settlement,0.1.0,federated-settlement/Cargo.toml,federated-settlement,workspace_member,5,4,0,True,True,False,schemars;serde;stack-ids;serde_json
libraries2,job-queue,0.2.0,job-queue/Cargo.toml,job-queue,workspace_member,8,0,0,True,True,False,tokio;rusqlite;serde;serde_json;anyhow;chrono;uuid;thiserror;tracing;stack-ids;tempfile
libraries2,llm-output-parser,0.2.0,llm-output-parser/Cargo.toml,llm-output-parser,not_listed,11,0,0,False,True,False,serde;serde_json;thiserror;serde_yaml;serde
libraries2,profile-runtime,0.1.0,profile-runtime/Cargo.toml,profile-runtime,root_excluded,12,4,0,True,True,False,assurance-runtime;attestation-exchange;authority-delegation;continuity-runtime;serde;serde_json;schemars;stack-ids;thiserror;verification-policy;serde_json
libraries2,remote-oracle-admission,0.1.0,remote-oracle-admission/Cargo.toml,remote-oracle-admission,workspace_member,3,2,0,True,True,False,schemars;serde;stack-ids;attestation-exchange
libraries2,attestation-exchange,0.1.0,repo_overlay/attestation-exchange/Cargo.toml,repo_overlay/attestation-exchange,not_listed,4,2,0,False,True,False,schemars;serde;stack-ids;serde_json
libraries2,attestation-exchange,0.1.0,scaffolds/attestation-exchange/Cargo.toml,scaffolds/attestation-exchange,not_listed,5,0,0,True,True,False,schemars;serde;serde_json
libraries2,remote-oracle-admission,0.1.0,scaffolds/remote-oracle-admission/Cargo.toml,scaffolds/remote-oracle-admission,not_listed,7,0,0,True,True,False,schemars;serde;serde_json
libraries2,spec-execution,0.1.0,spec-execution/Cargo.toml,spec-execution,workspace_member,3,2,0,True,True,False,schemars;serde;serde_json;stack-ids;serde_json
libraries2,stack-ids,0.2.0,stack-ids/Cargo.toml,stack-ids,workspace_member,2,0,0,True,True,False,blake3;schemars;serde;serde_json;uuid
